question,result
What red wines would you suggest for someone who enjoys a velvety texture and soft tannins?,"| title                                         | description                                                                                                                                                                                                                                                     | variety                  | country   | region        | winery         | province   |
| HandCraft 2014 Artisan Collection Malbec (California)                   | HandCraft has been consistently good with this grape, and this complex wine is another excellent example. Intriguing aromas of wood smoke and rosemary lead to concentrated fruit flavors like pomegranate and cranberry. The mouthfeel is layered and nicely tannic, and flavors seem to go deep. | Malbec             | US        | California      | HandCraft | California |
| HandCraft 2014 Artisan Collection Cabernet Sauvignon (California)       | This admittedly oaky wine makes an attractive package of cedary, savory aromas and rich fruit flavors. It's playful on the nose, with rosemary and forest floor aromas, and almost-sweet Bing cherry flavors on the full-bodied and smooth palate.                                                 | Cabernet Sauvignon | US        | California      | HandCraft | California |
| Husch 2014 Estate Bottled Late Harvest Gewürztraminer (Anderson Valley) | This sweet and vibrant wine is a rare find. Wonderful floral, grapefruit and honey aromas lead to incredibly concentrated ripe flavors on a lush texture that's lifted by underlying acidity. It's almost irresistible now, but will be best after 2022.                                           | Gewürztraminer     | US        | Anderson Valley | Husch     | California |
| HandCraft 2012 Artisan Collection Pinot Noir (California)               | Looking for a bargain in a good, coastal Pinot Noir? This one is silky, crisp in acidity and pleasurably rich in raspberries, cranberries and herb tea flavors, sweetened with a little brown sugar.                                                                                               | Pinot Noir         | US        | California      | HandCraft | California |
| HandCraft 2013 Artisan Collection Petite Sirah (California)             | Ripe, jammy, grapy aromas and flavors and a lush but firm texture make this medium-bodied wine instantly appealing and enjoyable to drink. It has nicely concentrated fruit flavors, a sense of depth and a beautiful, velvety texture.                                                            | Petite Sirah       | US        | California      | HandCraft | California |"
Recommend a wine with hints of citrus.,"| title                                                            | description                                                                                                                                                                                                                                                                                                                              | variety         | country   | region       | winery         | province   |
|:-----------------------------------------------------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:----------------|:----------|:-------------|:---------------|:-----------|
| X 2011 White X White (California)                                | There are lots of orange, pineapple, Meyer lemon, lime, honey and spice flavors in this blend of Chardonnay, Sauvignon Blanc, Arneis and Gewürztraminer. It's brisk in acidity and a little sweet. Try pairing it with Chinese, Vietnamese and Thai foods.                                                                               | White Blend     | US        | California   | X              | California |
| Almquist 2014 Lé Orange Vintner's Select Pinot Gris (Washington) | With a notable orange tinge, the aromas offer notes of flowers and orange peel, seeming to show a touch of oxygen exposure. It drinks off dry, with abundant orange-rind and smoke flavors.                                                                                                                                              | Pinot Gris      | US        | Washington   | Almquist       | Washington |
| Iris Vineyards 2014 Chalice Estate Pinot Gris (Oregon)           | Grapefruit comes to mind first upon sipping this bracing bottle. The minerality, with flavors of wet rock and an immaculate transparency, carries it along with a mix of citrus, pear and a slice of cucumber. This is a great shellfish wine.                                                                                           | Pinot Gris      | US        | Oregon Other | Iris Vineyards | Oregon     |
| Concannon 2010 Reserve Sauvignon Blanc (Monterey County)         | Lots of upfront lemon, lime, orange and tropical fruit flavors in this wine, which is balanced with crisp acidity and finishes dry. A tang of minerality helps to make it clean and vibrant. Great food wine, especially with Asian fare.                                                                                                | Sauvignon Blanc | US        | Monterey     | Concannon      | California |
| Big House 2007 White White (California)                          | The Muscat Canelli in the blend really stands out, offering tangerine aromas and flavors. But additional fruit and spice complexities are offered by Sauvignon Blanc and Viognier, among other varieties. Crisply acidic and dry, this is an outstanding white wine, and a versatile one at the table. Sommeliers, buy this by the case. | White Blend     | US        | California   | Big House      | California |"
Recommend a wine with hints of cherry.,"| title                                                           | description                                                                                                                                                                                                                                                                                                                     | variety   | country   | region             | winery                  | province   |
|:----------------------------------------------------------------|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:----------|:----------|:-------------------|:------------------------|:-----------|
| The Williamsburg Winery 2015 Reserve Merlot (Virginia)          | This wine evokes black cherry pie cooling in a window sill. Kirsch, clove, anise and toast form a powerful bouquet that carries through to the palate. Fleshy tannins and a creaminess suggest a rich body and makes for a long finish that ends with a zing of tart cherry.                                                    | Merlot    | US        | Virginia           | The Williamsburg Winery | Virginia   |
| Pascal Aufranc 2012 Les Cerisiers Vieilles  Vignes  (Juliénas)  | This wine's name translates to “cherry,” and cherries are in its aroma along with spice. The palate shows a juicy, forward fruity character, a tang of acidity and soft tannins. It's a fine wine, but not for long-term aging so drink now and over the next few months.                                                       | Gamay     | France    | Juliénas           | Pascal Aufranc          | Beaujolais |
| Scott Harvey 2012 Mountain Selection Zinfandel (Amador County)  | A relatively light color and a cinnamon-sugar aroma might indicate a simply fruity wine, but this turns more serious and lean in flavor and texture, suggesting tart cherry and cranberry. It brings firm acidity and tannins to the mouthfeel, for a refreshing, dry and restrained character that will be very food-friendly. | Zinfandel | US        | Amador             | Scott Harvey            | California |
| Canoe Ridge 2013 Reserve Cherry Street Red (Horse Heaven Hills) | An unusual blend of Syrah, Merlot, Grenache and Cinsault, this wine offers fruit-forward aromas of raspberry and plum that lead to plump fruit flavors, with lightly astringent tannins providing support.                                                                                                                      | Red Blend | US        | Horse Heaven Hills | Canoe Ridge             | Washington |
| Collin-Bourisset 2015 Beaujo Chéri  (Beaujolais)                | Soft and juicy, this is a bright cherry-flavored wine. It has a fine line of acidity to bring out the refreshing fruitiness and crisp aftertaste.                                                                                                                                                                               | Gamay     | France    | Beaujolais         | Collin-Bourisset        | Beaujolais |"
Can you suggest a wine from Argentina?,"| title                                                                | description                                                                                                                                                                                                                                                                                                 | variety            | country   | region           | winery            | province         |
|:---------------------------------------------------------------------|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------------|:----------|:-----------------|:------------------|:-----------------|
| Familia Schroeder 2008 Saurus Patagonia Sauvignon Blanc (Neuquén)    | A simple but reasonably good white wine. Applesauce and citrus aromas are fruity and clean, while the mango-orange palate is tasty, a little sweet and citric. Pithy on the finish but mellow overall.                                                                                                      | Sauvignon Blanc    | Argentina | Neuquén          | Familia Schroeder | Other            |
| Valentin Bianchi 2009 Famiglia Bianchi Sauvignon Blanc               | Wines like this are why Argentina would be best served sticking to reds. This has no bouquet to speak of, and the palate is dilute, tangy, citrusy and sharp. Acceptable but that's it.                                                                                                                     | Sauvignon Blanc    | Argentina | Mendoza Province | Valentin Bianchi  | Mendoza Province |
| Michel Torino 2006 Coleccion Cabernet Sauvignon (Calchaquí Valley)   | A fleshy wine with aromas of wet clay and earth. It seems a little hot and herbal at its foundation, but around the edges there are flavors of cherry and raspberry. The feel is chunky and innocuous, with mild tannins.                                                                                   | Cabernet Sauvignon | Argentina | Calchaquí Valley | Michel Torino     | Other            |
| Argie 2009 Andes Torrontés (La Rioja)                                | Seems like we're catching this wine late in its cycle. It's not very expressive on the nose, and even though there's still life to the palate, it's dealing only mild apple and citrus flavors followed by heat and acidic scour on the finish.                                                             | Torrontés          | Argentina | La Rioja         | Argie             | Other            |
| Familia Schroeder 2007 Saurus Patagonia Cabernet Sauvignon (Neuquén) | Opens with red fruit aromas that are like a million other generic red wines, while the body has size, grab and stickiness. Flavors of cola, cherry, cassis and plum are red in nature and basically good, while the finish is candied but not overly so. An everyman's Cabernet in every sense of the word. | Cabernet Sauvignon | Argentina | Neuquén          | Familia Schroeder | Other            |"
Suggest a wine from a winery known for its sustainable practices.,"| title                                                                          | description                                                                                                                                                                                                                                                                                                                                                           | variety         | country      | region                  | winery          | province        |
|:-------------------------------------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:----------------|:-------------|:------------------------|:----------------|:----------------|
| Barker's Marque 2015 Arona Certified Sustainable Sauvignon Blanc (Marlborough) | Certified Sustainable applies to almost all New Zealand wines these days, so it's a bit of a gimmick to place it so prominently on the label, but what's in the bottle is very good. It's got those “good green” notes of snow pea, a hint of struck flint and tart pineapple flavors that linger on the finish. It's only light in body, but concentrated in flavor. | Sauvignon Blanc | New Zealand  | Marlborough             | Barker's Marque | Marlborough     |
| Green Path 2006 Organic Shiraz (South Eastern Australia)                       | Sold in 1-liter Tetra Prisma packaging meant to reduce greenhouse emissions, this is an ecofriendly wine that tastes good. Its bouquet is its strongest asset, offering floral, perfumy notes of white pepper and rhubarb, while the palate is on the light side for Shiraz, but clean and supple. Drink now.                                                         | Shiraz          | Australia    | South Eastern Australia | Green Path      | Australia Other |
| Parducci 2006 Sustainable White Red (Mendocino County)                         | A brisk, brusque, tannic wine whose rusticity calls for easy fare, like backyard barbecue or even fast-food burgers. It's dry and full-bodied, a country-style blend with deep flavors of blackberries and tobacco. The price is fair.                                                                                                                                | Red Blend       | US           | Mendocino               | Parducci        | California      |
| Amity 1999 Eco Wine Cattrall Brothers Pinot Noir (Oregon)                      | If you are allergic to sulfites or insist on certified organic wines, this one fits the bill. Unfortunately it's heavy on the grape-juice characteristic, with sharp acids running the show. Dense and chewy, and there's an odd grapefruit note at the end.                                                                                                          | Pinot Noir      | US           | Oregon Other            | Amity           | Oregon          |
| Makulu NV Sustainable Agriculture Perlè Moscato (Western Cape)                 | A spritzy and effervescent selection, the carbonation helps to lift the inherent sweet fruit aromas and flavors of guava, peach and mushy pear. An ideal choice for a warm summer day by the pool, served very cold.                                                                                                                                                  | Moscato         | South Africa | Western Cape            | Makulu          | Western Cape    |"
I'm searching for a white wine that's zesty with grapefruit or lemon zest notes. Any suggestions?,"| title                                                                           | description                                                                                                                                                                                                                                                                          | variety         | country   | region               | winery                | province   |
|:--------------------------------------------------------------------------------|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:----------------|:----------|:---------------------|:----------------------|:-----------|
| X 2011 White X White (California)                                               | There are lots of orange, pineapple, Meyer lemon, lime, honey and spice flavors in this blend of Chardonnay, Sauvignon Blanc, Arneis and Gewürztraminer. It's brisk in acidity and a little sweet. Try pairing it with Chinese, Vietnamese and Thai foods.                           | White Blend     | US        | California           | X                     | California |
| Buttonwood Farm 2007 Zingy Sauvignon Blanc (Santa Ynez Valley)                  | Zingy is a great word for this dry, crisp Sauvignon Blanc. The lemon, lime, grapefruit and spice flavors cleanse the palate. Nice with shellfish, goat cheese, grilled veggies.                                                                                                      | Sauvignon Blanc | US        | Santa Ynez Valley    | Buttonwood Farm       | California |
| Joseph Swan Vineyards 2014 Catie's Corner Grenache Blanc (Russian River Valley) | A light, bright and lemony white wine that's textured and deliciously quaffable, this vineyard-designate is only available in tiny amounts and well worth the hunt. Orange blossom and juicy peach figure on the nose and palate without the interference of oak or undue sweetness. | Grenache Blanc  | US        | Russian River Valley | Joseph Swan Vineyards | California |
| Lovingston 2010 Wahoo White Chardonnay (Monticello)                             | Scents of fresh lemons, herbs and white flowers grace this delicately structured, unoaked Chardonnay. Brisk and tonic on the palate, it's a breezy white that's perfect for summer sipping.                                                                                          | Chardonnay      | US        | Monticello           | Lovingston            | Virginia   |
| Novella 2009 Synergy Blanc White (Paso Robles)                                  | A useful wine that will play well against umami-flavored appetizers. It's dryish to off-dry and crisp in acids, with pleasant pineapple, orange and vanilla flavors. The blend is Sauvignon Blanc, Viognier, Pinot Grigio, Chardonnay and Grenache Blanc.                            | White Blend     | US        | Paso Robles          | Novella               | California |"
Can you recommend a red wine that's velvety with a hint of mocha or coffee notes?,"| title                                                                    | description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | variety            | country      | region         | winery                      | province             |
|:-------------------------------------------------------------------------|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------------|:-------------|:---------------|:----------------------------|:---------------------|
| O'Vineyards 2006 Proprietor's Reserve Red (Cabardes)                     | Loads of menthol and pepper spice fill the nose, with a supporting fruit core of black cherry, black currant and wild raspberry. The texture is like crushed satin but the tannins, though fine grain, have good staying power. Mocha and cherry pits add character to the close.                                                                                                                                                                                                                                                                                                                                                                                                               | Red Blend          | France       | Cabardes       | O'Vineyards                 | Languedoc-Roussillon |
| Bellingham 2013 Mocha Java Merlot (Coastal Region)                       | Notes of caramel sauce and balsamic reduction grace the jammy raspberry and cherry center of this wine. The medium-weight palate offers surprisingly gripping tannins, with a fine sandpaper-like texture and lively notes of black currant and plum. Drink now.                                                                                                                                                                                                                                                                                                                                                                                                                                | Merlot             | South Africa | Coastal Region | Bellingham                  | Coastal Region       |
| Louis M. Martini 1997 Monte Rosso Vyd Cabernet Sauvignon (Sonoma Valley) | A can't-miss Cabernet with a rich nose of blackberry, plum, coffee and oak. It's so dense that the cassis, wood, and coffee flavors come across as being tarry. The smooth, stylish finish is packed full of woodiness, licorice and fine tannins. Simply put, it's full of style and a whole lot of fun to drink.                                                                                                                                                                                                                                                                                                                                                                              | Cabernet Sauvignon | US           | Sonoma Valley  | Louis M. Martini            | California           |
| Chambers Rosewood Vineyards NV Grand Muscat (Rutherglen)                 | Deep mahogany. Dried fig and black tea on the nose, then concentrated mocha and molasses flavors, enlivened by candied orange zest. Full, rich and sweet, but surprisingly drinkable, with terrific intensity and length. Coffee-colored, with enticing scents of orange drizzled with dark maple syrup, coffee and raisins. Sweet, upfront and lushly textured, this is an easy-to-appreciate Muscat with great length. Not as darkly concentrated or marked by rancio as the Rare bottling (but considerably less expensive), this is still an excellent sweet wine. Earthy notes of caramel and mocha dominate, rounded out by candied dates and wrapped up by a long, coffee-tinged finish. | Muscat             | Australia    | Rutherglen     | Chambers Rosewood Vineyards | Victoria             |
| O•S Winery 2006 Red Wine Red (Washington)                                | This inexpensive red wine has muscle and depth. It's chocolaty, rich and loaded with ripe, supple fruits and smooth caramel. There is plenty of coffee flavor, a sweet and broad mid-palate, and a simple but satisfying finish.                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Red Blend          | US           | Washington     | O•S Winery                  | Washington           |"
I prefer white wines with a lively acidity and a hint of green apple or pear. Any suggestions?,"| title                                              | description                                                                                                                                                                                                                                                                                                                                                                                                                                        | variety      | country   | region      | winery       | province           |
|:---------------------------------------------------|:---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------|:----------|:------------|:-------------|:-------------------|
| Peter Zemmer 2012 Punggl Pinot Bianco (Alto Adige) | Here's a bright wine that offers sensations of yellow and green apples accented with notes of ginger and citrus alongside lively acidity. The crisp palate ends on a clean, refreshing note. Pair with grilled vegetables or lightly seasoned seafood.                                                                                                                                                                                             | Pinot Bianco | Italy     | Alto Adige  | Peter Zemmer | Northeastern Italy |
| Veramar NV Riesling-Vidal Blanc White (Virginia)   | Bruised apple and high-toned apple cider notes on the nose. It's an appley wine with familiar hints of ginger and apple pie spice, but brisk acidity and a supple mouthfeel keeps it from being overtly homespun in style. On the nose, this wine offers muted banana, lychee and pineapple. Flavors are tropical and overripe, coating the mouth with plump papaya, passion fruit and guava. It's a little heavy, needing a bit more acidic lift. | White Blend  | US        | Virginia    | Veramar      | Virginia           |
| Andis 2016 Cuvée Blanc White (Amador County)       | Light, fresh and fruity without being at all sweet or soft, this is a charming dry wine to serve with lunch or at wine o'clock in the afternoon. It smell like freshly cut apples and Bosc pears, tastes crisp and feels tangy and palate cleansing.                                                                                                                                                                                               | White Blend  | US        | Amador      | Andis        | California         |
| Sonsierra 2015 Selección Viura (Rioja)             | Apple and melon aromas are easy to decipher. For a basic white wine, this feels good, fresh and mostly right. Modest generic white-fruit flavors are followed by a bready note of spent lees on the finish.                                                                                                                                                                                                                                        | Viura        | Spain     | Rioja       | Sonsierra    | Northern Spain     |
| Trenza 2009 Blanco White (Edna Valley)             | What a nice wine to drink with almost anything that wants a white wine, from chicken or pork to potstickers. It's bone dry and brisk in Edna Valley acidity, with flavors of lemons, limes, green apples, minerals and white flowers.                                                                                                                                                                                                              | White Blend  | US        | Edna Valley | Trenza       | California         |"
Are there any white wines with a pronounced tropical fruit character like pineapple or mango?,"| title                                                        | description                                                                                                                                                                                                                                | variety          | country   | region     | winery          | province   |
|:-------------------------------------------------------------|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-----------------|:----------|:-----------|:----------------|:-----------|
| Fiuza 2008 Ikon Chardonnay/Trincadeira White (Tejo)          | Aromatic, tropical textured wine. Great flavors of ripe pineapple and mango balance with more green fruit characters and a twist of lime. The wood flavors are well restrained, offering just a touch of final spice.                      | Portuguese White | Portugal  | Tejo       | Fiuza           | Tejo       |
| Santo Wines 2015 Nykteri White (Santorini)                   | This wine has a banana and lemon character on the nose, followed by complex layers of vanilla, citrus and pineapple. Good mineral balance gives tis fuller bodied wine balance. A pretty white with gravitas?pair with poultry and cheese. | White Blend      | Greece    | Santorini  | Santo Wines     | Santorini  |
| Herdade Grande 2012 Colheita Seleccionada White (Alentejano) | This fruity wine boasts flavors of mango, pineapple and apricot. It is full and ripe, with bright fruitiness and ample acidity. Some wood aging adds an attractive toasty accent to this warm wine.                                        | Portuguese White | Portugal  | Alentejano | Herdade Grande  | Alentejano |
| Three Pines 2013 Tierra Blanca Chardonnay (California)       | This delicious, sweet and fruit-driven wine smells like pineapple and honey. It tastes full bodied, very ripe and unctuous, and has a long, lingering finish. It will be great with salty cheeses and toasted nuts.                        | Chardonnay       | US        | California | Three Pines     | California |
| Quinta do Pinto 2008 Branco Reserva White (Lisboa)           | Warm, rich wine with tropical flavors of mango, peach and with a ripe feel. It has weight, although the fruit does hint at crispness. There is a toast and nuts character that broadens out the interest.                                  | Portuguese White | Portugal  | Lisboa     | Quinta do Pinto | Lisboa     |"
"What white wines would you suggest for someone who enjoys a clean, refreshing taste?","| title                                                               | description                                                                                                                                                                                                                                                                                    | variety          | country   | region         | winery                | province    |
|:--------------------------------------------------------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-----------------|:----------|:---------------|:----------------------|:------------|
| Francis Ford Coppola 2007 Presents Bianco Pinot Grigio (California) | Everybody needs a dry, tart white wine and Coppola has provided us with one in this crisply citric bottling. It's fresh and uplifting in grapefruit, lime and spicy flavors, at a good price.                                                                                                  | Pinot Grigio     | US        | California     | Francis Ford Coppola  | California  |
| Andis 2016 Cuvée Blanc White (Amador County)                        | Light, fresh and fruity without being at all sweet or soft, this is a charming dry wine to serve with lunch or at wine o'clock in the afternoon. It smell like freshly cut apples and Bosc pears, tastes crisp and feels tangy and palate cleansing.                                           | White Blend      | US        | Amador         | Andis                 | California  |
| Cantina di Monteforte 2011 Re Teodorico  (Soave Classico)           | This pretty white wine would pair perfectly with salads, fresh water fish or grilled tuna. Stone fruit and honeydew melon give it a clean and lively mouthfeel.                                                                                                                                | Garganega        | Italy     | Soave Classico | Cantina di Monteforte | Veneto      |
| José Maria da Fonseca 2008 Twin Vines White (Vinho Verde)           | The perfect summer apéritif, this light, fresh, crisp wine tastes just drier than previous vintages, allowing the apple and lemon fruits to shine even more. It has a tight, taut aftertaste, leaving the mouth clean and refreshed. Screwcap.                                                 | Portuguese White | Portugal  | Vinho Verde    | José Maria da Fonseca | Vinho Verde |
| Cantina di Soave 2011 Rocca Sveva  (Soave Classico)                 | Straightforward and bright, this is the perfect Italian white to pair with raw seafood, sushi or seafood salad. Crisp citrus, stone fruit, pear and honey aromas are delivers in an easy and attractive manner. This is an informal wine that will enhance many of your favorite summer foods. | Garganega        | Italy     | Soave Classico | Cantina di Soave      | Veneto      |"
What's a red wine that's complex with layers of dark fruit and spices?,"| title                                               | description                                                                                                                                                                                                                                                                                                                                                                             | variety                  | country   | region        | winery         | province   |
|:----------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------------------|:----------|:--------------|:---------------|:-----------|
| Pinord 2010 +7 Red (Priorat)                        | This ripe, healthy wine offers aromas of baked black fruits, licorice and raisin. In the mouth, it's more vital than on the nose; racy acidity and firm but pure tannins make sure of that. For flavors, look for savory tomato, plum, berry fruits, licorice and schisty minerality. Finishing notes of mocha, plum and coffee are braced by hard-driving tannins. Drink through 2024. | Red Blend                | Spain     | Priorat       | Pinord         | Catalonia  |
| Gran Vinaio 2010 Red Grenache (Montsant)            | Deep, smoky aromas of black fruits are muscular and full. This is well structured and strong, with toast and dark-fruit flavors of blackberry and plum. Spicy, peppery flavors and mild heat drive the finish.                                                                                                                                                                          | Grenache                 | Spain     | Montsant      | Gran Vinaio    | Catalonia  |
| Taken Wine Co. 2013 Complicated Red (Central Coast) | Black cherries, cola, fennel and dill come together for a thick aromatic profile on this blend of Grenache, Syrah and Carignane. Pencil lead, blackberry preserves and black pepper show on the palate, which is rich but not particularly fruity, thanks to beef char and woody flavors.                                                                                               | Red Blend                | US        | Central Coast | Taken Wine Co. | California |
| Bock 2000 Cuvée Barrique Red (Villány)              | The rich, spicy and savory nose evoke the food for which the country is known, and this wine would undoubtedly pair well with full-bodied, spiced meats and stews. Its full, spicy nose leads into dependable flavors of red berry, wooded spice and pepper, with a slightly bitter, smoked edge. Not a terribly complex wine, but solid and tasty nonetheless.                         | Bordeaux-style Red Blend | Hungary   | Villány       | Bock           | Villány    |
| Paul Dolan 2006 Deep Red Red (Mendocino)            | A very ripe, rather high alcohol blend of Syrah, Petite Sirah and Grenache that's superrich in fruit, but lacks some elegance and finesse. Flatters the palate with flavors of blackberry and cherry pie filling, cassis, chocolate, anise and pepper. Probably not an ager, so drink with a nice grilled pork chop.                                                                    | Red Blend                | US        | Mendocino     | Paul Dolan     | California |"
Can you suggest a wine from Italy?,"| title                                                          | description                                                                                                                                                                                                                            | variety   | country   | region                | winery                            | province       |
|:---------------------------------------------------------------|:---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:----------|:----------|:----------------------|:----------------------------------|:---------------|
| Castello di Montegiove 2010 Gatto Gatto  (Orvieto)             | Sometimes you need a light and refreshing red wine to serve with burgers or franks. This informal wine from Umbria shows an easy bouquet that is characterized by black fruit, bacon and cured meat.                                   | Red Blend | Italy     | Orvieto               | Castello di Montegiove            | Central Italy  |
| Dal Cero Tenuta di Corte Giacobbe 2011 Corte Giacobbe  (Soave) | Here's an easy and fresh white wine to drink with bruschetta or informal finger foods. The wine is crisp and light with endnotes of white peach, citrus and pear.                                                                      | Garganega | Italy     | Soave                 | Dal Cero Tenuta di Corte Giacobbe | Veneto         |
| Saladini Pilastri 2010 Piediprato  (Rosso Piceno)              | Perfect for meat dishes or grilled lamb chops, this is a lush and soft red wine that offers a cheerful and informal personality. Ripe cherry, prune and light spice make for an easy-drinking proposition.                             | Red Blend | Italy     | Rosso Piceno          | Saladini Pilastri                 | Central Italy  |
| Leone de Castris 2005 Villa Santera  (Primitivo di Manduria)   | This is a simple and pleasant wine from southern Italy with sweet, floral tones of cherry blossom, rose hip, lavender and scented candle. The wine has a vibrant, pointed personality and some sour crispness on the close.            | Primitivo | Italy     | Primitivo di Manduria | Leone de Castris                  | Southern Italy |
| Il Conte 2009 Villa Prandone Cavaceppo Passerina (Marche)      | Forget Pinot Grigio and try this wonderful white wine from central Italy. Passerina, a little-known native grape, offers crisp sassiness and bright aromas of kiwi, citrus and passion fruit. There's loads of fresh personality here. | Passerina | Italy     | Marche                | Il Conte                          | Central Italy  |"
What would be a good wine for a quiet evening?,"| title                                                            | description                                                                                                                                                                                                                                                   | variety        | country   | region            | winery             | province         |
|:-----------------------------------------------------------------|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------|:----------|:------------------|:-------------------|:-----------------|
| Château d'Esclans 2010 Whispering Angel Rosé (Côtes de Provence) | Very soft, full-bodied wine that has red berry fruits and a light touch of acidity. There is some concentration with a pepper and spice exoticism to go with the ripe feel.                                                                                   | Rosé           | France    | Côtes de Provence | Château d'Esclans  | Provence         |
| Domaine Rotier 2014 Esquisse Red (Gaillac)                       | A wine that smells so fruity, and with a soft, open texture, needs to be drunk young. This wine is all red berries coupled with acidity and some smoky tannins. It's a great idea to chill it slightly.                                                       | Red Blend      | France    | Gaillac           | Domaine Rotier     | Southwest France |
| Attimo 2010 Deep Silence Cabernet Franc (Virginia)               | This veers on the lower side of aromatic intensity, with notes of dark raspberry and plum, raw meat, melted chocolate and underbrush. Lively acids define the light- to medium-bodied palate, while powdery tannins lend traction.                            | Cabernet Franc | US        | Virginia          | Attimo             | Virginia         |
| Barra of Mendocino 2014 Estate Grown Pinot Noir (Mendocino)      | Soothing, flavorful and easy to drink, this medium- to full-bodied wine offers measured and ripe plum and berry notes, a velvety texture and lingering finish.                                                                                                | Pinot Noir     | US        | Mendocino         | Barra of Mendocino | California       |
| Domaine Alfred 2006 Da Red Red (Central Coast)                   | Sometimes all you need is a rustic bottle of good red wine and your favorite food to be happy. That's the kind of wine this Pinot Noir and Syrah blend is. It's dry and full-bodied and filled with berry flavors that don't take a lot of analysis to enjoy. | Red Blend      | US        | Central Coast     | Domaine Alfred     | California       |"
